Yield_CT,Yield_change,Latitude,Longitude,Crop,Crop_rotation_CT,Soil_cover_CT,Weed_pest_control_CT,P,E,PB,Tave,Tmax,Tmin,ST
3224.0,-0.1064,-23.18,-51.18,wheat.winter,1,0.0,1.0,912.5,468.571,443.929,18.8,25.97025,12.42004,Clay
820.0,0.011,34.63,-99.33,cotton,0,0.0,1.0,418.6,619.876,-201.276,23.7,35.19271,10.6856,Loam
3343.0,-0.2602,41.22,-83.77,soybean,0,0.0,1.0,524.4,509.634,14.766,19.48333,28.9121,4.39624,Loam
2037.0,0.052,46.82,-100.88,sunflower,0,0.0,1.0,372.9,477.004,-104.104,15.98333,27.92929,3.15182,Loam
2620.0,-0.2099,34.03,-83.42,wheat.winter,1,0.0,1.0,917.4,593.177,324.223,16.5625,29.69283,-0.80448,Loam
5625.0,-0.0667,44.45,26.52,wheat.winter,1,0.0,1.0,475.1,616.166,-141.066,12.4,32.5615,-8.0337,Clay loam
2980.0,-0.0336,35.25,136.22,soybean,0,0.0,1.0,397.8,408.766,-10.966,22.65,32.05212,17.80066,Loam
1069.0,0.0739,35.63,-88.85,soybean,0,0.0,1.0,831.5,495.752,335.748,21.2,32.80869,2.7371,Loam
4364.0,0.0467,35.32,106.07,maize,0,0.0,1.0,239.3,377.762,-138.462,13.84,24.53529,0.1758,Loam
1400.0,-0.1429,-36.3,145.75,wheat.winter,0,0.0,1.0,953.5,286.068,667.432,11.07143,21.71518,3.71368,Loam
12340.0,0.0736,-28.92,29.55,maize,0,0.0,1.0,332.3,697.401,-365.101,8.31429,21.2642,1.92811,Clay loam
1676.0,0.3013,43.87,-93.51,soybean,0,0.0,1.0,562.9,509.709,53.191,17.4,29.0991,3.30428,Loam
9800.0,0.2143,31.38,72.03,maize,0,0.0,1.0,202.1,384.957,-182.857,31.72,41.81672,19.74682,Loam
2980.0,-0.0839,45.3,-73.35,soybean,0,0.0,1.0,660.7,419.003,241.697,18.08,26.90974,5.71532,Loam
2450.0,-0.4163,37.7,-5.33,barley.winter,0,0.0,1.0,318.0000038,545.7425154,-227.743,19.49999986,32.687087,4.406250984,Clay loam
9580.0,-0.1357,44.87,20.33,maize,0,0.0,1.0,343.2,531.363,-188.163,18.55714,30.01398,6.87157,Loam
3139.0,0.0484,35.63,-88.85,soybean,0,0.0,1.0,549.4,505.305,44.095,21.76667,33.63446,4.73965,Loam
3740.0,-0.2104,41.8,1.12,barley.winter,0,0.0,1.0,201.1,482.803,-281.703,16.21429,28.46006,2.45313,Loam
10100.0,0.0198,42.02,-93.75,maize,0,0.0,1.0,505.6,551.908,-46.308,19.65,30.49899,4.72439,Loam
5896.0,0.0426,37.99,-100.82,maize,0,0.0,1.0,364.0,572.642,-208.642,19.46667,31.78592,3.43443,Sandy loam
1713.0,-0.5709,46.82,-100.88,sunflower,0,0.0,1.0,387.3,495.831,-108.531,15.31667,29.52321,0.46634,Loam
460.0,4.0,38.47,-101.75,sorghum,0,0.0,1.0,217.5,444.891,-227.391,20.74,36.27331,4.5889,Loam
830.0,0.3133,30.54,-96.43,soybean,1,0.0,1.0,227.3,557.018,-329.718,26.68,37.83597,15.19385,Loam
5190.0,-0.052,31.53,120.68,wheat.winter,0,0.0,0.0,744.6,586.109,158.491,16.95,28.49724,1.33219,Loam
11660.0,0.0566,51.03,17.35,maize,1,0.0,1.0,403.5,428.102,-24.602,13.88571,26.64484,1.77962,Loam
969.0,0.0805,34.18,-101.95,cotton,0,0.0,1.0,387.2,557.346,-170.146,21.33333,31.97094,8.09325,Loam
920.0,-0.5261,53.12,-114.47,barley.spring,0,0.0,1.0,292.2,376.077,-83.877,12.2,23.8801,1.45953,Loam
11700.0,0.0684,39.08,-76.65,maize,0,0.0,1.0,652.3,545.786,106.514,21.15,29.26216,8.45563,Sandy clay loam
17080.0,-0.3285,52.43,16.9,maize,0,0.0,1.0,378.2,407.489,-29.289,14.91429,26.174,4.26026,Sandy loam
3990.0,0.1604,8.03,39.17,wheat.winter,0,1.0,1.0,365.2,615.161,-249.961,23.4,28.63557,11.01197,Clay loam
1510.0,0.3709,35.18,-102.08,wheat.winter,0,1.0,1.0,412.0,593.079,-181.079,12.77778,35.1396,-4.95282,Loam
8102.0,0.1213,38.19,-84.87,maize,1,0.0,1.0,684.5,533.719,150.781,20.56667,29.89469,7.46473,Loam
1300.0,-0.3077,30.83,75.87,wheat.winter,0,0.0,1.0,253.3,566.012,-312.712,25.58333,35.76643,5.72288,Loam
2600.0,-0.3846,11.59,37.38,maize,0,0.0,1.0,1110.5,779.029,331.471,17.8125,26.44554,12.10658,Clay loam
3044.0,-0.2352,-23.18,-51.18,wheat.winter,1,0.0,1.0,625.1,508.367,116.733,19.9,29.85309,12.04282,Clay
12020.0,0.0233,51.03,17.35,maize,1,0.0,1.0,403.5,428.102,-24.602,13.88571,26.64484,1.77962,Loam
1300.0,0.0769,31.38,72.03,maize,0,0.0,1.0,489.9,406.5,83.4,30.62,38.91278,19.24657,Loam
2015.740741,0.08,40.85,-96.47,soybean,0,0.0,1.0,673.2,567.987,105.213,20.15,32.99246,6.17767,Loam
5580.0,0.0986,28.67,77.2,wheat.winter,0,0.0,1.0,70.6,248.998,-178.398,21.875,27.43239,6.20485,Loam
6070.0,-0.2109,45.61,17.86,wheat.winter,1,1.0,1.0,908.2,560.881,347.319,13.35455,27.77379,-1.95067,Loam
3900.0,-0.2821,-2.35,30.25,maize,1,0.0,1.0,558.3,512.182,46.118,24.425,26.6788,17.19974,Clay
3042.0,-0.023,-23.18,-51.18,wheat.winter,1,0.0,1.0,1082.1,480.346,601.754,19.1,30.65942,10.66765,Clay
7660.0,-0.1044,40.8,-96.67,maize,0,0.0,1.0,806.4,537.739,268.661,18.8,29.28899,5.86404,Loam
13055.0,-0.0493,-28.92,29.55,maize,0,0.0,1.0,545.6,664.571,-118.971,8.88571,20.22965,3.92448,Clay loam
14717.0,0.0256,41.8,1.12,maize,0,0.0,1.0,159.8,667.161,-507.361,19.7625,34.45457,5.2742,Loam
7400.0,0.0473,28.67,77.2,wheat.winter,0,0.0,1.0,31.3,248.132,-216.832,22.125,29.47552,7.38955,Loam
4085.0,-0.2257,53.42,-113.55,barley.spring,0,0.0,1.0,388.5,403.294,-14.794,13.46,22.55742,3.80804,Loam
1930.0,-0.0363,30.54,-96.43,soybean,1,0.0,1.0,447.7,546.277,-98.577,26.1,36.83152,15.98915,Loam
2900.0,-0.0345,43.02,-82.12,soybean,0,0.0,1.0,465.7,413.779,51.921,17.9,28.78088,3.34002,Clay
2580.0,0.0217,48.55,-104.83,wheat.spring,0,0.0,1.0,167.3000011,434.5457771,-267.246,18.18000031,31.89607485,4.96073569,Loam
2767.0,0.1247,-23.18,-51.18,soybean,1,0.0,1.0,825.7,760.089,65.611,26.31667,32.86046,17.39611,Clay
2493.0,-0.8247,25.67,78.47,sorghum,0,0.0,0.0,599.3,345.629,253.671,28.55,36.06364,20.1673,Sandy clay loam
1830.0,-0.0984,31.53,120.68,wheat.winter,0,0.0,0.0,744.6,586.109,158.491,16.95,28.49724,1.33219,Loam
3989.0,-0.0133,49.86,-99.96,barley.spring,0,0.0,1.0,271.2,409.754,-138.554,15.04,26.6809,1.83669,Loam
3000.0,0.0,43.02,-82.12,soybean,0,0.0,1.0,358.4,439.565,-81.165,18.58,28.7614,6.49381,Clay
